Publication_date,Source,Scraped_category,Title,Summary,Article_Url
2024-09-05,BBC,news,A mega merger aims to reshape India's entertainment landscape,The deal aims to create India's largest entertainment company which will dominate the advertising market.,https://www.bbc.com/news/articles/c3d9ymnkz44o
2024-09-05,BBC,clip news,Moment small asteroid lights up night sky,"The European Space Agency said the asteroid, dubbed 2024 RW1, was ""harmless"" but created a ""spectacular fireball"" in the Philippine sky.",https://www.bbc.com/news/videos/c0jpl839z5qo
2024-09-05,BBC,news,Pope and top Indonesian imam make joint call for peace,The Pope is currently in Indonesia as part of his tour around the Asia Pacific region.,https://www.bbc.com/news/articles/c5ylzy7drzqo
2024-09-04,BBC,news,The child-killing wolves sparking panic in India,"Since April, wolf attacks have terrorised villages near the Nepalese border, killing nine children.",https://www.bbc.com/news/articles/cx2n1z943zzo
2024-09-04,BBC,news,Telegram apologises for handling of deepfake porn material,It comes days after South Korean police said they had launched an investigation into Telegram.,https://www.bbc.com/news/articles/cvg45kz47dno
2024-09-04,BBC,news,'Chinese spy mayor' wanted by Philippines arrested,Alice Guo was arrested in Indonesia after being on the run in four countries for weeks.,https://www.bbc.com/news/articles/c0mnyrm8739o
2024-09-03,BBC,news,Netflix show on India plane hijacking sparks row,The flight was taken to Taliban-ruled Kandahar in 1999 to demand the release of jailed militants in India.,https://www.bbc.com/news/articles/clywp741rxwo
2024-09-03,BBC,news,Chinese artist detained for 'insulting' Mao sculptures,Gao Zhen and his brother are known for their provocative depictions of the former Communist leader.,https://www.bbc.com/news/articles/c785q0l03d1o
2024-09-03,BBC,news,School bus ploughs into crowd in China killing 11,"State media reports the driver is in custody, and police are investigating the cause of the incident.",https://www.bbc.com/news/articles/c78lk3gxk8mo
2024-09-03,BBC,news,Pope Francis begins historic Asia Pacific trip,"The Pope will visit Indonesia, Papua New Guinea, Timor-Leste and Singapore over 12 days.",https://www.bbc.com/news/articles/cm2npr4pg5no
2024-09-03,BBC,news,Inside the deepfake porn crisis engulfing Korean schools,"The crisis involves many underage victims, with images shared in chat groups labelled  humiliation rooms .",https://www.bbc.com/news/articles/cpdlpj9zn9go
2024-09-02,BBC,news,India s Bangladesh dilemma: What to do about Sheikh Hasina?,Former Bangladesh PM Sheikh Hasina's continued presence in India means new diplomatic challenges for Delhi.,https://www.bbc.com/news/articles/cg4ypkpx1rqo
2024-09-02,BBC,news,A statue's collapse shakes up politics in an Indian state,The massive statue of a revered 17th Century warrior king has sparked a controversy in Maharashtra state.,https://www.bbc.com/news/articles/cdd7pzve974o
2024-09-02,BBC,news,"Japan teen jumps to death, killing pedestrian below","The high school student jumped from a building in a crowded shopping district, hitting a woman below.",https://www.bbc.com/news/articles/cg4yp1ve2kno
2024-08-31,BBC,news,The earliest pictures capturing the art and beauty of Indian monuments,A new exhibition in Delhi showcases a collection of photographs from the 1850s and 1860s.,https://www.bbc.com/news/articles/cgrjqy02z0yo
2024-08-31,BBC,news,Thailand wages war against 'alien' tilapia fish,"The invasive blackchin tilapia has spread to 17 provinces, threatening agriculture.",https://www.bbc.com/news/articles/cjjw9e077d8o
2024-08-31,BBC,news,'The howls were terrifying': Imprisoned in the notorious 'House of Mirrors',"Inside the detention facility in Bangladesh s infamous military intelligence headquarters, known as Aynaghor, or  House of Mirrors .",https://www.bbc.com/news/articles/cdd7nqzj20qo
