Publication_date,Source,Scraped_category,Title,Summary,news_raw,Article_Url
27-08-2024,BBC,Formula 1,F1 Q&A: Can Norris still narrow gap to win Championship?AttributionFormula 1Posted27 August27 Aug,F1 Q&A: Can Norris still narrow gap to win Championship?AttributionFormula 1Posted27 August27 Aug,F1 Q&A: Can Norris still narrow gap to win Championship?AttributionFormula 1Posted27 August27 Aug,https://www.bbc.com/sport/formula1/articles/cm2n76gyxnyo
27-08-2024,BBC,Formula 1,Williams replace Sargeant with F2 driver ColapintoAttributionFormula 1Posted27 August27 AugComments430,Williams replace Sargeant with F2 driver ColapintoAttributionFormula 1Posted27 August27 AugComments430,Williams replace Sargeant with F2 driver ColapintoAttributionFormula 1Posted27 August27 AugComments430,https://www.bbc.com/sport/formula1/articles/c3vxek6v192o
11-09-2024,BBC,Rugby U,Top-five challenge shows Scots' progress - ThomsonAttributionScottish RugbyPosted6 hours ago6h,Top-five challenge shows Scots' progress - ThomsonAttributionScottish RugbyPosted6 hours ago6h,Top-five challenge shows Scots' progress - ThomsonAttributionScottish RugbyPosted6 hours ago6h,https://www.bbc.com/sport/rugby-union/articles/c623p86ngw8o
11-09-2024,BBC,Rugby U,Williamson appointed new Scottish Rugby CEOAttributionScottish RugbyPosted4 hours ago4h,Williamson appointed new Scottish Rugby CEOAttributionScottish RugbyPosted4 hours ago4h,Williamson appointed new Scottish Rugby CEOAttributionScottish RugbyPosted4 hours ago4h,https://www.bbc.com/sport/rugby-union/articles/cg4y6g5qze0o
11-09-2024,BBC,Rugby U,West aims to help Northampton pack improveAttributionN'hamptonPosted59 minutes ago59min,West aims to help Northampton pack improveAttributionN'hamptonPosted59 minutes ago59min,West aims to help Northampton pack improveAttributionN'hamptonPosted59 minutes ago59min,https://www.bbc.com/sport/rugby-union/articles/cgjv3p7ve3wo
11-09-2024,BBC,Rugby U,Exeter sign Irish forward Moloney after trialAttributionRugby UnionPosted2 hours ago2h,Exeter sign Irish forward Moloney after trialAttributionRugby UnionPosted2 hours ago2h,Exeter sign Irish forward Moloney after trialAttributionRugby UnionPosted2 hours ago2h,https://www.bbc.com/sport/rugby-union/articles/c8rx7470lg1o
10-09-2024,BBC,Rugby U,RFU to cut 42 staff in bid to balance booksAttributionRugby UnionPosted1 day ago1d,RFU to cut 42 staff in bid to balance booksAttributionRugby UnionPosted1 day ago1d,RFU to cut 42 staff in bid to balance booksAttributionRugby UnionPosted1 day ago1d,https://www.bbc.com/sport/rugby-union/articles/c1l50n4027jo
10-09-2024,BBC,Rugby U,Wade has Premiership try record 'in sights',"New Gloucester winger Christian Wade says the Premiership try-scoring record is ""in his sights"" as he returns to the league.AttributionGloucesterPosted1 day ago1d","Wade has Premiership try record 'in sights'New Gloucester winger Christian Wade says the Premiership try-scoring record is ""in his sights"" as he returns to the league.AttributionGloucesterPosted1 day ago1d",https://www.bbc.com/sport/rugby-union/articles/c33nxmdmy2yo
10-09-2024,BBC,Rugby U,Ex-Scotland captain Hogg charged with stalkingAttributionSouth ScotlandPosted22 hours ago22h,Ex-Scotland captain Hogg charged with stalkingAttributionSouth ScotlandPosted22 hours ago22h,Ex-Scotland captain Hogg charged with stalkingAttributionSouth ScotlandPosted22 hours ago22h,https://www.bbc.com/news/articles/cwyx5l7465lo
10-09-2024,BBC,Rugby U,Allianz win would boost World Cup belief - BreachAttributionRugby UnionPosted22 hours ago22h,Allianz win would boost World Cup belief - BreachAttributionRugby UnionPosted22 hours ago22h,Allianz win would boost World Cup belief - BreachAttributionRugby UnionPosted22 hours ago22h,https://www.bbc.com/sport/rugby-union/articles/ckg2r0yvdeeo
11-09-2024,BBC,Rugby U,Tumour forces Wassell out of Scotland WXV 2 squadAttributionScottish RugbyPosted19 hours ago19h,Tumour forces Wassell out of Scotland WXV 2 squadAttributionScottish RugbyPosted19 hours ago19h,Tumour forces Wassell out of Scotland WXV 2 squadAttributionScottish RugbyPosted19 hours ago19h,https://www.bbc.com/sport/rugby-union/articles/c623pzy3376o
10-09-2024,BBC,Rugby U,Changing roles for Ospreys duo Morgan and TipuricAttributionOspreysPosted22 hours ago22h,Changing roles for Ospreys duo Morgan and TipuricAttributionOspreysPosted22 hours ago22h,Changing roles for Ospreys duo Morgan and TipuricAttributionOspreysPosted22 hours ago22h,https://www.bbc.com/sport/rugby-union/articles/cwy50gg72z2o
10-09-2024,BBC,Rugby U,England finessing key areas for NZ test - Hunter,"Defence coach Sarah Hunter says England have pinpointed aspects of their game to ""finesse"" before Saturday's WXV1 match against world champions New Zealand at Allianz Stadium.AttributionRugby UnionPosted1 day ago1d","England finessing key areas for NZ test - HunterDefence coach Sarah Hunter says England have pinpointed aspects of their game to ""finesse"" before Saturday's WXV1 match against world champions New Zealand at Allianz Stadium.AttributionRugby UnionPosted1 day ago1d",https://www.bbc.com/sport/rugby-union/articles/cly3k93007vo
09-09-2024,BBC,Rugby U,Cheika ‘embracing’ challenge of Tigers' reputationAttributionLeicesterPosted2 days ago2d,Cheika ‘embracing’ challenge of Tigers' reputationAttributionLeicesterPosted2 days ago2d,Cheika ‘embracing’ challenge of Tigers' reputationAttributionLeicesterPosted2 days ago2d,https://www.bbc.com/sport/rugby-union/articles/cql3nk9dkk1o
